,tri_edge,dom/cod,踊り,女性,スカート,夜,音楽,回る,揺れる,舞台
0,"('踊り', '女性')",踊り,0.10428982565430112,0.794576966149737,0.11733810288497036,0.480224692367622,0.002402853569196085,0.17683169504161356,0.5091015147548604,0.08093967013794622
1,"('踊り', '女性')",女性,1.0,0.00962792472537983,0.04244227208707231,0.06708578689234565,0.8979283954703233,0.9829532868330847,0.7650079429261462,0.8646897846262037
2,"('踊り', 'スカート')",踊り,0.4328453267094823,0.797971695234851,0.3807131816768634,0.7650079429261462,0.09743391135780573,0.5890472411061645,0.9660548039946861,0.3807131816768634
3,"('踊り', 'スカート')",スカート,0.3913604492997981,0.8641266713551774,0.6043593545214949,0.7805538526280621,0.02783843912513583,0.6028123307114599,0.6043593545214949,0.27302974714377237
4,"('踊り', '夜')",踊り,0.4328453267094823,0.797971695234851,0.3807131816768634,0.7650079429261462,0.09743391135780573,0.5890472411061645,0.9660548039946861,0.3807131816768634
5,"('踊り', '夜')",夜,0.7650079429261462,0.04244227208707231,0.029818035695845287,0.0015905004234978686,0.6669046355985243,0.8810067501468761,0.6059012741795533,0.9660548039946861
6,"('踊り', '音楽')",踊り,0.9660548039946861,0.6368198117628943,0.668231040071504,0.8646897846262037,0.43082315771331503,0.8641266713551774,0.5456987782182727,0.8983528043506301
7,"('踊り', '音楽')",音楽,0.15236740186901965,0.24175711150708423,0.6510838503222888,0.43082315771331503,0.04921361285173152,0.12118595044596626,0.22203877371139524,0.11632679499319289
8,"('踊り', '回る')",踊り,0.668231040071504,0.7000942309691419,0.5164895523012263,0.8983528043506301,0.20323552046727092,0.8472940220818164,0.7000942309691419,0.5456987782182727
9,"('踊り', '回る')",回る,0.46003032896571994,0.20538635110581185,0.4328453267094823,0.1543901209862251,0.5890472411061645,0.47196179260238624,0.46003032896571994,0.668231040071504
10,"('踊り', '揺れる')",踊り,0.46003032896571994,0.5755148957119259,0.33173980143301507,0.5456987782182727,0.037864053843451616,0.5890472411061645,0.9660548039946861,0.2861051019083129
11,"('踊り', '揺れる')",揺れる,0.831214097710308,0.5164895523012263,0.668231040071504,0.4879222748387009,0.130054688990847,0.813794310413029,0.33173980143301507,0.2861051019083129
12,"('踊り', '舞台')",踊り,0.7650079429261462,0.46003032896571994,0.7323675052362975,1.0,0.16026666791460525,0.9148857180816652,0.5755148957119259,0.4328453267094823
13,"('踊り', '舞台')",舞台,0.9318728062136596,0.6198061390079386,0.3415091184940342,0.03165655703330228,0.4700289750707346,0.923055399333031,0.7805538526280621,0.6198061390079386
14,"('女性', '踊り')",女性,0.9660548039946861,0.0037047773275858133,0.019942126131992522,0.029818035695845287,0.8641266713551774,0.9488837293174808,0.6059012741795533,0.5164895523012263
15,"('女性', '踊り')",踊り,0.13922686754397814,0.932156735540504,0.13922686754397814,0.5164895523012263,0.006787532819243955,0.21252229468836073,0.6368198117628943,0.09918581647988323
16,"('女性', 'スカート')",女性,0.7000942309691419,0.02455415007146968,0.05807305801714863,0.06708578689234565,0.5738746583219767,0.6353826478012163,1.0,0.33173980143301507
17,"('女性', 'スカート')",スカート,0.4174779170120546,0.6043593545214949,0.7971388092372127,0.7971388092372127,0.29841660685344323,0.2872132950947242,0.353666329808871,0.8305146353314997
18,"('女性', '夜')",女性,0.668231040071504,0.05807305801714863,0.04986723056888511,0.029818035695845287,0.6510838503222887,0.6043593545214949,0.9660548039946861,0.30849527238037144
19,"('女性', '夜')",夜,1.0,0.2949902441700328,0.0655947574629728,0.09743391135780573,0.6655734724639943,0.7796519861721161,0.8472940220818164,0.731278765094574
20,"('女性', '音楽')",女性,0.20538635110581185,0.46003032896571994,0.4328453267094823,0.2439524358800516,0.3062985352866241,0.16026666791460525,0.4328453267094823,0.0876228290414024
21,"('女性', '音楽')",音楽,0.13922686754397814,0.30849527238037144,0.5456987782182727,0.26458604674749614,0.0655947574629728,0.10350688483298859,0.18746985521554207,0.12497678418833198
22,"('女性', '回る')",女性,0.5292413110551777,0.8979283954703233,0.4174779170120546,0.04480926269300501,0.8382289783482211,0.542230206549819,0.7971388092372127,0.5146735855804967
23,"('女性', '回る')",回る,0.46003032896571994,0.2439524358800516,0.22421610749233659,0.12497678418833198,0.8305146353314997,0.4580688437057311,0.5456987782182727,0.8983528043506301
24,"('女性', '揺れる')",女性,0.6059012741795533,0.07692880993776309,0.06708578689234565,0.01594401657897401,0.813794310413029,0.5146735855804967,0.932156735540504,0.3807131816768634
25,"('女性', '揺れる')",揺れる,0.6368198117628943,0.6059012741795533,0.22421610749233659,0.13922686754397814,0.6198061390079386,0.5292413110551777,0.4328453267094823,0.932156735540504
26,"('女性', '舞台')",女性,0.26458604674749614,0.4063970144863861,0.3807131816768634,0.11163298761149111,0.43082315771331503,0.22203877371139524,0.6059012741795533,0.13922686754397814
