,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しい,儚い,羽,NA
0,"('踊り', '女性')",踊り,218,35,386,17,84,89,33,97,41
1,"('踊り', '女性')",女性,104,32,113,286,12,175,80,157,41
2,"('踊り', 'スカート')",踊り,191,66,323,27,54,62,35,100,142
3,"('踊り', 'スカート')",スカート,61,148,57,208,91,131,75,87,142
4,"('踊り', '夜')",踊り,239,46,393,16,44,55,16,78,113
5,"('踊り', '夜')",夜,89,88,48,30,336,80,149,67,113
6,"('踊り', '音楽')",踊り,221,24,260,12,24,51,14,56,338
7,"('踊り', '音楽')",音楽,44,29,95,126,22,218,128,0,338
8,"('踊り', '回る')",踊り,138,42,322,20,61,101,42,109,165
9,"('踊り', '回る')",回る,127,385,42,28,50,52,110,41,165
10,"('踊り', '揺れる')",踊り,142,48,359,41,77,62,39,132,100
11,"('踊り', '揺れる')",揺れる,70,185,12,100,97,144,274,18,100
12,"('踊り', '舞台')",踊り,117,45,287,19,82,47,24,104,275
13,"('踊り', '舞台')",舞台,162,97,42,50,98,129,123,24,275
14,"('女性', '踊り')",女性,97,37,128,281,23,162,86,149,37
15,"('女性', '踊り')",踊り,213,43,401,17,76,73,31,109,37
16,"('女性', 'スカート')",女性,83,31,130,292,16,130,57,141,120
17,"('女性', 'スカート')",スカート,117,153,60,159,91,171,63,66,120
18,"('女性', '夜')",女性,66,27,135,302,15,155,54,148,98
19,"('女性', '夜')",夜,103,170,36,73,227,84,144,65,98
20,"('女性', '音楽')",女性,64,24,97,241,16,85,29,119,325
21,"('女性', '音楽')",音楽,69,22,88,136,29,215,116,0,325
22,"('女性', '回る')",女性,23,17,82,569,11,6,17,147,128
23,"('女性', '回る')",回る,145,407,40,29,77,52,88,34,128
24,"('女性', '揺れる')",女性,71,28,125,404,21,89,54,141,67
25,"('女性', '揺れる')",揺れる,94,226,10,67,87,94,339,16,67
26,"('女性', '舞台')",女性,52,26,95,341,12,59,41,119,255
27,"('女性', '舞台')",舞台,198,88,51,57,93,117,111,30,255
28,"('スカート', '踊り')",スカート,73,139,52,206,90,108,76,100,156
29,"('スカート', '踊り')",踊り,173,60,369,20,49,62,23,88,156
30,"('スカート', '女性')",スカート,107,183,61,142,100,167,48,69,123
31,"('スカート', '女性')",女性,89,30,114,270,13,165,56,140,123
32,"('スカート', '夜')",スカート,78,87,54,276,66,129,47,72,191
33,"('スカート', '夜')",夜,90,126,37,82,222,49,140,63,191
34,"('スカート', '音楽')",スカート,86,94,30,156,97,56,30,74,377
35,"('スカート', '音楽')",音楽,51,29,69,195,33,138,108,0,377
36,"('スカート', '回る')",スカート,52,72,47,214,69,156,54,97,239
37,"('スカート', '回る')",回る,123,320,34,21,56,71,104,32,239
38,"('スカート', '揺れる')",スカート,72,97,57,228,93,142,51,78,182
39,"('スカート', '揺れる')",揺れる,88,157,12,76,86,133,258,8,182
40,"('スカート', '舞台')",スカート,46,80,42,188,73,77,43,83,368
41,"('スカート', '舞台')",舞台,124,73,37,85,84,111,93,25,368
42,"('夜', '踊り')",夜,91,93,46,37,345,76,128,58,126
43,"('夜', '踊り')",踊り,202,32,384,16,37,79,19,105,126
44,"('夜', '女性')",夜,100,145,39,62,250,81,152,77,94
45,"('夜', '女性')",女性,58,26,125,316,20,151,71,139,94
46,"('夜', 'スカート')",夜,74,114,47,88,217,58,147,67,188
47,"('夜', 'スカート')",スカート,75,96,51,240,77,122,57,94,188
48,"('夜', '音楽')",夜,79,101,27,63,193,26,78,69,364
49,"('夜', '音楽')",音楽,36,33,66,165,24,195,117,0,364
50,"('夜', '回る')",夜,68,79,54,103,181,66,115,89,245
51,"('夜', '回る')",回る,117,282,38,43,49,81,109,36,245
52,"('夜', '揺れる')",夜,59,118,57,55,247,80,129,86,169
53,"('夜', '揺れる')",揺れる,64,189,18,76,62,169,235,18,169
54,"('夜', '舞台')",夜,54,96,30,93,177,64,119,60,307
55,"('夜', '舞台')",舞台,145,80,66,49,69,143,119,22,307
56,"('音楽', '踊り')",音楽,64,26,72,126,31,220,126,0,335
57,"('音楽', '踊り')",踊り,179,20,278,18,28,67,23,52,335
58,"('音楽', '女性')",音楽,64,29,89,118,37,232,104,0,327
59,"('音楽', '女性')",女性,56,28,97,225,14,116,33,104,327
60,"('音楽', 'スカート')",音楽,46,19,79,177,29,156,112,0,382
61,"('音楽', 'スカート')",スカート,73,103,41,149,93,50,36,73,382
62,"('音楽', '夜')",音楽,39,25,60,184,24,170,138,0,360
63,"('音楽', '夜')",夜,88,91,32,56,192,34,80,67,360
64,"('音楽', '回る')",音楽,32,21,85,246,20,139,93,0,364
65,"('音楽', '回る')",回る,110,273,23,35,83,27,49,36,364
66,"('音楽', '揺れる')",音楽,28,28,85,256,32,134,118,0,319
67,"('音楽', '揺れる')",揺れる,67,270,9,68,86,38,127,16,319
68,"('音楽', '舞台')",音楽,30,27,66,117,25,152,88,0,495
69,"('音楽', '舞台')",舞台,112,68,39,50,58,87,71,20,495
70,"('回る', '踊り')",回る,111,382,33,21,32,77,115,49,180
71,"('回る', '踊り')",踊り,112,47,326,26,54,92,47,116,180
72,"('回る', '女性')",回る,171,415,33,23,60,46,94,22,136
73,"('回る', '女性')",女性,26,11,90,572,9,11,9,136,136
74,"('回る', 'スカート')",回る,140,281,43,16,55,77,102,30,256
75,"('回る', 'スカート')",スカート,56,87,53,207,63,128,60,90,256
76,"('回る', '夜')",回る,122,297,39,32,49,77,108,41,235
77,"('回る', '夜')",夜,53,79,41,106,172,72,146,96,235
78,"('回る', '音楽')",回る,99,261,27,14,71,29,52,28,419
79,"('回る', '音楽')",音楽,39,20,73,237,19,107,86,0,419
80,"('回る', '揺れる')",回る,148,322,45,8,63,82,83,36,213
81,"('回る', '揺れる')",揺れる,85,152,10,39,84,202,206,9,213
82,"('回る', '舞台')",回る,96,261,38,25,55,54,69,32,370
83,"('回る', '舞台')",舞台,94,49,71,71,59,120,138,28,370
84,"('揺れる', '踊り')",揺れる,85,183,5,102,72,141,291,17,104
85,"('揺れる', '踊り')",踊り,148,62,370,30,66,73,34,113,104
86,"('揺れる', '女性')",揺れる,105,221,9,74,105,80,333,15,58
87,"('揺れる', '女性')",女性,62,26,136,388,23,87,49,171,58
88,"('揺れる', 'スカート')",揺れる,85,160,8,80,74,146,254,20,173
89,"('揺れる', 'スカート')",スカート,56,101,55,240,83,139,49,104,173
90,"('揺れる', '夜')",揺れる,60,181,11,88,78,146,255,19,162
91,"('揺れる', '夜')",夜,69,122,52,48,252,77,123,95,162
92,"('揺れる', '音楽')",揺れる,74,220,11,51,86,39,143,26,350
93,"('揺れる', '音楽')",音楽,40,26,80,237,31,140,96,0,350
94,"('揺れる', '回る')",揺れる,88,159,11,40,72,229,208,9,184
95,"('揺れる', '回る')",回る,145,356,28,13,64,85,89,36,184
96,"('揺れる', '舞台')",揺れる,73,154,13,88,79,94,185,12,302
97,"('揺れる', '舞台')",舞台,133,68,69,101,87,113,104,23,302
98,"('舞台', '踊り')",舞台,142,84,48,52,114,150,122,21,267
99,"('舞台', '踊り')",踊り,140,47,274,22,72,45,26,107,267
100,"('舞台', '女性')",舞台,183,104,55,58,104,114,111,21,250
101,"('舞台', '女性')",女性,50,20,94,361,13,71,24,117,250
102,"('舞台', 'スカート')",舞台,127,77,61,83,86,98,120,23,325
103,"('舞台', 'スカート')",スカート,63,82,45,201,65,72,33,114,325
104,"('舞台', '夜')",舞台,115,66,49,60,84,134,127,21,344
105,"('舞台', '夜')",夜,56,91,36,81,169,46,102,75,344
106,"('舞台', '音楽')",舞台,113,56,47,36,81,80,90,11,486
107,"('舞台', '音楽')",音楽,31,21,57,161,21,145,78,0,486
108,"('舞台', '回る')",舞台,85,56,53,67,95,105,129,37,373
109,"('舞台', '回る')",回る,98,252,28,31,41,74,69,34,373
110,"('舞台', '揺れる')",舞台,107,80,57,82,91,126,100,31,326
111,"('舞台', '揺れる')",揺れる,66,157,8,73,93,71,186,20,326
