	tri_edge	dom/cod	Illana	Chabad_rabbi	SUNDOWNS	Patrice_Luzi	Trygve_Olson_cartoon	Guttierrez	Jenna_Werdell	Dan_Miracola	Thaye	NA
0	('Fishcreek_Road_Stow', 'Oneco_Elementary')	Fishcreek_Road_Stow	0	32	132	76	161	14	70	134	71	310
1	('Fishcreek_Road_Stow', 'Oneco_Elementary')	Oneco_Elementary	0	53	75	47	102	124	97	151	41	310
2	('Fishcreek_Road_Stow', 'chaplin')	Fishcreek_Road_Stow	0	46	66	70	152	14	74	99	63	416
3	('Fishcreek_Road_Stow', 'chaplin')	chaplin	0	120	64	73	85	40	65	49	88	416
4	('Fishcreek_Road_Stow', 'Cruiz')	Fishcreek_Road_Stow	0	28	153	73	213	6	119	192	33	183
5	('Fishcreek_Road_Stow', 'Cruiz')	Cruiz	0	3	143	94	258	104	68	131	16	183
6	('Fishcreek_Road_Stow', 'Trygve_Olson_cartoon')	Fishcreek_Road_Stow	0	23	229	37	247	7	128	195	30	104
7	('Fishcreek_Road_Stow', 'Trygve_Olson_cartoon')	Trygve_Olson_cartoon	0	1	138	4	615	0	27	102	9	104
8	('Fishcreek_Road_Stow', 'ATWOOD')	Fishcreek_Road_Stow	0	33	151	108	175	13	111	121	48	240
9	('Fishcreek_Road_Stow', 'ATWOOD')	ATWOOD	0	2	167	63	139	70	181	97	41	240
10	('Fishcreek_Road_Stow', 'Parisara')	Fishcreek_Road_Stow	0	62	123	125	165	19	120	85	78	223
11	('Fishcreek_Road_Stow', 'Parisara')	Parisara	0	37	98	98	122	70	92	30	230	223
12	('Fishcreek_Road_Stow', 'Jenna_Werdell')	Fishcreek_Road_Stow	0	28	219	102	195	13	117	130	68	128
13	('Fishcreek_Road_Stow', 'Jenna_Werdell')	Jenna_Werdell	0	1	215	52	107	24	334	103	36	128
14	('Oneco_Elementary', 'Fishcreek_Road_Stow')	Oneco_Elementary	0	57	64	68	123	110	107	136	43	292
15	('Oneco_Elementary', 'Fishcreek_Road_Stow')	Fishcreek_Road_Stow	0	39	123	85	165	13	76	130	77	292
16	('Oneco_Elementary', 'chaplin')	Oneco_Elementary	0	60	37	19	104	84	103	116	42	435
17	('Oneco_Elementary', 'chaplin')	chaplin	0	153	56	65	101	31	57	38	64	435
18	('Oneco_Elementary', 'Cruiz')	Oneco_Elementary	0	29	69	54	143	63	172	163	35	272
19	('Oneco_Elementary', 'Cruiz')	Cruiz	0	3	160	101	142	105	68	109	40	272
20	('Oneco_Elementary', 'Trygve_Olson_cartoon')	Oneco_Elementary	0	52	88	57	147	112	118	209	57	160
21	('Oneco_Elementary', 'Trygve_Olson_cartoon')	Trygve_Olson_cartoon	0	11	182	80	255	54	42	127	89	160
22	('Oneco_Elementary', 'ATWOOD')	Oneco_Elementary	0	24	90	47	138	74	150	159	27	291
23	('Oneco_Elementary', 'ATWOOD')	ATWOOD	0	1	155	90	101	70	156	105	31	291
24	('Oneco_Elementary', 'Parisara')	Oneco_Elementary	0	54	48	55	105	127	167	115	33	296
25	('Oneco_Elementary', 'Parisara')	Parisara	0	28	96	86	95	85	84	20	210	296
26	('Oneco_Elementary', 'Jenna_Werdell')	Oneco_Elementary	0	27	109	54	195	107	145	174	30	159
27	('Oneco_Elementary', 'Jenna_Werdell')	Jenna_Werdell	0	2	208	76	96	39	245	143	32	159
28	('chaplin', 'Fishcreek_Road_Stow')	chaplin	0	112	61	77	86	40	66	65	86	407
29	('chaplin', 'Fishcreek_Road_Stow')	Fishcreek_Road_Stow	0	36	65	59	181	18	64	102	68	407
30	('chaplin', 'Oneco_Elementary')	chaplin	0	150	47	52	82	27	55	28	74	485
31	('chaplin', 'Oneco_Elementary')	Oneco_Elementary	0	57	34	35	95	66	96	100	32	485
32	('chaplin', 'Cruiz')	chaplin	0	157	65	56	91	22	78	47	58	426
33	('chaplin', 'Cruiz')	Cruiz	0	13	62	46	112	165	60	71	45	426
