,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しい,儚い,羽,NA
0,"('踊り', '女性')",踊り,244,33,396,14,70,72,31,101,39
1,"('踊り', '女性')",女性,99,35,104,283,29,154,86,171,39
2,"('踊り', 'スカート')",踊り,187,48,325,21,61,64,37,100,157
3,"('踊り', 'スカート')",スカート,76,141,47,202,95,122,73,87,157
4,"('踊り', '夜')",踊り,224,32,388,21,50,60,20,86,119
5,"('踊り', '夜')",夜,96,91,42,35,335,86,141,55,119
6,"('踊り', '音楽')",踊り,199,22,265,21,36,60,20,45,332
7,"('踊り', '音楽')",音楽,55,31,91,128,23,217,123,0,332
8,"('踊り', '回る')",踊り,113,42,357,20,54,96,47,103,168
9,"('踊り', '回る')",回る,132,377,40,20,55,50,127,31,168
10,"('踊り', '揺れる')",踊り,128,55,377,28,71,72,32,145,92
11,"('踊り', '揺れる')",揺れる,65,204,12,90,79,146,295,17,92
12,"('踊り', '舞台')",踊り,122,38,277,21,52,64,37,106,283
13,"('踊り', '舞台')",舞台,153,95,44,53,110,124,117,21,283
14,"('女性', '踊り')",女性,90,36,114,276,30,159,83,171,41
15,"('女性', '踊り')",踊り,223,37,390,19,57,88,35,110,41
16,"('女性', 'スカート')",女性,81,27,124,284,17,153,63,114,137
17,"('女性', 'スカート')",スカート,126,157,49,147,97,175,54,58,137
18,"('女性', '夜')",女性,78,30,140,317,12,120,74,143,86
19,"('女性', '夜')",夜,111,155,34,69,225,86,168,66,86
20,"('女性', '音楽')",女性,70,34,100,234,13,84,32,115,318
21,"('女性', '音楽')",音楽,53,35,90,118,35,226,125,0,318
22,"('女性', '回る')",女性,28,11,90,563,7,4,14,146,137
23,"('女性', '回る')",回る,146,440,33,15,75,44,84,26,137
24,"('女性', '揺れる')",女性,63,21,141,414,8,97,39,159,58
25,"('女性', '揺れる')",揺れる,105,229,16,60,98,70,351,13,58
26,"('女性', '舞台')",女性,50,30,114,333,14,70,33,121,235
27,"('女性', '舞台')",舞台,175,83,54,61,98,134,134,26,235
28,"('スカート', '踊り')",スカート,73,154,53,210,78,140,61,97,134
29,"('スカート', '踊り')",踊り,176,55,333,26,65,72,25,114,134
30,"('スカート', '女性')",スカート,92,142,46,178,111,162,67,61,141
31,"('スカート', '女性')",女性,72,27,127,269,18,164,60,122,141
32,"('スカート', '夜')",スカート,55,102,50,260,66,117,52,83,215
33,"('スカート', '夜')",夜,88,127,54,73,196,46,140,61,215
34,"('スカート', '音楽')",スカート,85,92,33,160,90,42,21,77,400
35,"('スカート', '音楽')",音楽,52,18,75,177,26,135,117,0,400
36,"('スカート', '回る')",スカート,55,80,53,208,77,144,59,96,228
37,"('スカート', '回る')",回る,130,281,37,32,63,76,112,41,228
38,"('スカート', '揺れる')",スカート,63,97,46,250,88,136,62,97,161
39,"('スカート', '揺れる')",揺れる,88,184,10,55,71,138,277,16,161
40,"('スカート', '舞台')",スカート,61,100,37,219,71,72,35,92,313
41,"('スカート', '舞台')",舞台,152,67,61,87,84,97,118,21,313
42,"('夜', '踊り')",夜,102,92,39,39,328,80,131,53,136
43,"('夜', '踊り')",踊り,227,37,375,17,32,66,21,89,136
44,"('夜', '女性')",夜,103,128,50,57,249,85,161,89,78
45,"('夜', '女性')",女性,71,38,130,299,19,145,55,165,78
46,"('夜', 'スカート')",夜,77,148,39,94,186,48,129,67,212
47,"('夜', 'スカート')",スカート,59,91,65,255,68,117,64,69,212
48,"('夜', '音楽')",夜,70,106,36,55,216,25,95,48,349
49,"('夜', '音楽')",音楽,36,30,72,173,27,198,115,0,349
50,"('夜', '回る')",夜,54,97,54,86,178,82,158,88,203
51,"('夜', '回る')",回る,114,315,50,34,55,85,102,42,203
52,"('夜', '揺れる')",夜,72,124,56,66,264,70,133,80,135
53,"('夜', '揺れる')",揺れる,77,178,16,86,67,166,259,16,135
54,"('夜', '舞台')",夜,49,101,32,65,193,55,106,83,316
55,"('夜', '舞台')",舞台,132,65,60,65,71,136,126,29,316
56,"('音楽', '踊り')",音楽,64,34,95,127,29,194,141,0,316
57,"('音楽', '踊り')",踊り,199,27,275,10,41,53,18,61,316
58,"('音楽', '女性')",音楽,47,34,86,142,37,211,116,0,327
59,"('音楽', '女性')",女性,55,25,85,238,16,109,36,109,327
60,"('音楽', 'スカート')",音楽,40,37,76,210,23,128,118,0,368
61,"('音楽', 'スカート')",スカート,79,106,37,148,86,47,42,87,368
62,"('音楽', '夜')",音楽,49,29,78,177,25,172,123,0,347
63,"('音楽', '夜')",夜,86,109,32,59,196,21,85,65,347
64,"('音楽', '回る')",音楽,34,21,68,239,19,130,95,0,394
65,"('音楽', '回る')",回る,101,257,25,21,72,27,62,41,394
66,"('音楽', '揺れる')",音楽,48,26,73,237,32,138,98,0,348
67,"('音楽', '揺れる')",揺れる,65,229,11,72,89,48,127,11,348
68,"('音楽', '舞台')",音楽,35,35,61,132,28,134,104,0,471
69,"('音楽', '舞台')",舞台,139,52,38,53,47,98,84,18,471
70,"('回る', '踊り')",回る,141,364,52,17,65,61,102,42,156
71,"('回る', '踊り')",踊り,127,45,345,21,61,98,44,103,156
72,"('回る', '女性')",回る,162,427,34,17,56,46,92,28,138
73,"('回る', '女性')",女性,25,9,75,599,12,8,7,127,138
74,"('回る', 'スカート')",回る,140,306,39,14,55,78,90,35,243
75,"('回る', 'スカート')",スカート,47,76,57,187,88,145,66,91,243
76,"('回る', '夜')",回る,141,329,30,27,52,74,89,37,221
77,"('回る', '夜')",夜,38,67,42,107,190,89,147,99,221
78,"('回る', '音楽')",回る,109,275,21,21,81,20,55,22,396
79,"('回る', '音楽')",音楽,26,12,73,263,25,107,98,0,396
80,"('回る', '揺れる')",回る,149,350,46,15,57,82,75,31,195
81,"('回る', '揺れる')",揺れる,81,135,11,47,80,218,221,12,195
82,"('回る', '舞台')",回る,88,225,38,30,51,56,95,41,376
83,"('回る', '舞台')",舞台,98,62,55,68,76,110,129,26,376
84,"('揺れる', '踊り')",揺れる,82,194,9,95,72,151,277,22,98
85,"('揺れる', '踊り')",踊り,125,51,374,26,84,65,37,140,98
86,"('揺れる', '女性')",揺れる,110,260,14,64,83,88,301,18,62
87,"('揺れる', '女性')",女性,68,33,109,395,18,91,46,178,62
88,"('揺れる', 'スカート')",揺れる,82,175,18,71,68,143,260,18,165
89,"('揺れる', 'スカート')",スカート,67,80,73,230,89,140,52,104,165
90,"('揺れる', '夜')",揺れる,75,182,9,72,73,150,263,22,154
91,"('揺れる', '夜')",夜,72,127,53,50,245,76,132,91,154
92,"('揺れる', '音楽')",揺れる,66,223,9,50,95,50,138,23,346
93,"('揺れる', '音楽')",音楽,36,36,74,253,22,136,97,0,346
94,"('揺れる', '回る')",揺れる,79,149,11,55,54,244,221,9,178
95,"('揺れる', '回る')",回る,137,366,37,12,66,84,87,33,178
96,"('揺れる', '舞台')",揺れる,59,167,18,82,80,81,194,12,307
97,"('揺れる', '舞台')",舞台,119,83,61,94,81,122,108,25,307
98,"('舞台', '踊り')",舞台,128,96,59,47,108,113,104,31,314
99,"('舞台', '踊り')",踊り,122,47,262,20,68,44,21,102,314
100,"('舞台', '女性')",舞台,192,90,40,69,97,114,124,20,254
101,"('舞台', '女性')",女性,41,29,103,325,17,71,37,123,254
102,"('舞台', 'スカート')",舞台,133,78,53,77,92,100,93,24,350
103,"('舞台', 'スカート')",スカート,60,70,34,215,63,81,39,88,350
104,"('舞台', '夜')",舞台,112,64,55,61,77,152,118,26,335
105,"('舞台', '夜')",夜,52,104,37,69,174,45,106,78,335
106,"('舞台', '音楽')",舞台,102,70,49,39,63,84,72,11,510
107,"('舞台', '音楽')",音楽,36,22,49,127,16,139,101,0,510
108,"('舞台', '回る')",舞台,90,49,54,74,75,116,116,22,404
109,"('舞台', '回る')",回る,95,221,29,23,47,57,85,39,404
110,"('舞台', '揺れる')",舞台,111,81,63,81,109,100,102,30,323
111,"('舞台', '揺れる')",揺れる,61,149,10,96,66,84,197,14,323
