,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しい,儚い,羽,NA
0,"('踊り', '女性')",踊り,229,36,387,14,64,90,36,108,36
1,"('踊り', '女性')",女性,96,32,124,284,38,156,85,149,36
2,"('踊り', 'スカート')",踊り,187,44,325,27,55,75,36,105,146
3,"('踊り', 'スカート')",スカート,76,139,50,209,85,139,74,82,146
4,"('踊り', '夜')",踊り,211,40,377,20,47,77,23,84,121
5,"('踊り', '夜')",夜,100,109,36,31,341,64,149,49,121
6,"('踊り', '音楽')",踊り,176,24,277,15,34,56,28,60,330
7,"('踊り', '音楽')",音楽,64,22,88,126,22,228,120,0,330
8,"('踊り', '回る')",踊り,130,50,333,23,57,86,37,125,159
9,"('踊り', '回る')",回る,134,366,41,21,59,72,100,48,159
10,"('踊り', '揺れる')",踊り,119,59,389,31,71,62,36,152,81
11,"('踊り', '揺れる')",揺れる,86,192,11,93,76,154,289,18,81
12,"('踊り', '舞台')",踊り,139,48,280,12,73,61,23,93,271
13,"('踊り', '舞台')",舞台,137,104,75,46,113,116,116,22,271
14,"('女性', '踊り')",女性,108,37,113,293,26,149,81,147,46
15,"('女性', '踊り')",踊り,228,42,386,10,57,95,36,100,46
16,"('女性', 'スカート')",女性,78,28,127,287,20,146,66,136,112
17,"('女性', 'スカート')",スカート,113,162,58,158,102,175,60,60,112
18,"('女性', '夜')",女性,69,29,128,304,17,138,62,177,76
19,"('女性', '夜')",夜,114,143,47,86,228,76,161,69,76
20,"('女性', '音楽')",女性,72,30,100,252,18,73,31,104,320
21,"('女性', '音楽')",音楽,57,28,91,112,30,243,119,0,320
22,"('女性', '回る')",女性,32,16,110,535,11,11,10,143,132
23,"('女性', '回る')",回る,151,419,36,30,57,54,100,21,132
24,"('女性', '揺れる')",女性,55,33,142,385,15,106,44,148,72
25,"('女性', '揺れる')",揺れる,93,222,8,78,100,84,326,17,72
26,"('女性', '舞台')",女性,53,23,100,358,13,49,31,130,243
27,"('女性', '舞台')",舞台,203,95,63,46,89,126,113,22,243
28,"('スカート', '踊り')",スカート,77,162,61,176,74,145,70,85,150
29,"('スカート', '踊り')",踊り,175,47,327,27,67,70,23,114,150
30,"('スカート', '女性')",スカート,114,151,66,159,107,154,56,73,120
31,"('スカート', '女性')",女性,79,35,128,270,17,154,58,139,120
32,"('スカート', '夜')",スカート,73,99,50,253,66,103,53,92,211
33,"('スカート', '夜')",夜,77,112,26,87,204,61,156,66,211
34,"('スカート', '音楽')",スカート,67,89,34,163,87,53,30,85,392
35,"('スカート', '音楽')",音楽,41,28,68,175,28,154,114,0,392
36,"('スカート', '回る')",スカート,66,72,60,229,78,128,56,85,226
37,"('スカート', '回る')",回る,123,302,45,26,64,80,96,38,226
38,"('スカート', '揺れる')",スカート,74,98,55,227,94,145,56,88,163
39,"('スカート', '揺れる')",揺れる,73,195,6,67,70,135,278,13,163
40,"('スカート', '舞台')",スカート,62,83,42,196,52,83,40,92,350
41,"('スカート', '舞台')",舞台,153,66,49,84,75,89,109,25,350
42,"('夜', '踊り')",夜,98,100,30,32,357,77,130,55,121
43,"('夜', '踊り')",踊り,214,43,368,24,50,71,27,82,121
44,"('夜', '女性')",夜,114,137,43,100,198,81,167,62,98
45,"('夜', '女性')",女性,71,26,124,312,23,128,62,156,98
46,"('夜', 'スカート')",夜,72,157,42,94,194,52,139,51,199
47,"('夜', 'スカート')",スカート,73,78,51,255,84,129,62,69,199
48,"('夜', '音楽')",夜,64,108,22,73,181,19,93,68,372
49,"('夜', '音楽')",音楽,58,25,58,171,25,180,111,0,372
50,"('夜', '回る')",夜,60,77,55,110,184,77,148,76,213
