,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しい,儚い,羽,NA
0,"('踊り', '女性')",踊り,217,42,402,19,65,72,24,118,41
1,"('踊り', '女性')",女性,106,33,115,258,28,168,74,177,41
2,"('踊り', 'スカート')",踊り,181,38,343,25,71,74,22,118,128
3,"('踊り', 'スカート')",スカート,85,142,60,202,72,135,76,100,128
4,"('踊り', '夜')",踊り,218,36,377,18,48,64,19,100,120
5,"('踊り', '夜')",夜,108,89,47,27,328,77,146,58,120
6,"('踊り', '音楽')",踊り,206,24,290,20,40,46,22,55,297
7,"('踊り', '音楽')",音楽,47,27,106,110,34,260,119,0,297
8,"('踊り', '回る')",踊り,111,37,349,20,64,92,47,113,167
9,"('踊り', '回る')",回る,138,383,27,17,61,67,105,35,167
10,"('踊り', '揺れる')",踊り,138,55,354,37,58,67,40,135,116
11,"('踊り', '揺れる')",揺れる,86,191,6,100,79,138,269,15,116
12,"('踊り', '舞台')",踊り,137,34,277,20,66,58,30,97,281
13,"('踊り', '舞台')",舞台,155,87,53,43,126,105,130,20,281
14,"('女性', '踊り')",女性,100,36,110,289,39,161,73,151,41
15,"('女性', '踊り')",踊り,222,34,407,7,69,94,26,100,41
16,"('女性', 'スカート')",女性,84,30,113,265,20,136,71,133,148
17,"('女性', 'スカート')",スカート,79,169,57,144,98,174,43,88,148
18,"('女性', '夜')",女性,71,17,131,320,21,141,67,136,96
19,"('女性', '夜')",夜,117,136,45,65,223,95,151,72,96
20,"('女性', '音楽')",女性,75,21,93,216,23,105,27,126,314
21,"('女性', '音楽')",音楽,64,46,77,128,38,197,136,0,314
22,"('女性', '回る')",女性,21,13,75,565,10,11,12,144,149
23,"('女性', '回る')",回る,159,394,35,28,68,47,91,29,149
24,"('女性', '揺れる')",女性,87,27,129,413,16,85,41,131,71
25,"('女性', '揺れる')",揺れる,117,219,10,53,96,86,332,16,71
26,"('女性', '舞台')",女性,62,24,100,328,9,65,34,105,273
27,"('女性', '舞台')",舞台,182,76,38,68,89,121,131,22,273
28,"('スカート', '踊り')",スカート,76,155,44,204,93,135,65,77,151
29,"('スカート', '踊り')",踊り,168,53,309,33,52,74,32,128,151
30,"('スカート', '女性')",スカート,91,148,56,159,99,186,54,53,154
31,"('スカート', '女性')",女性,95,28,120,279,20,129,51,124,154
32,"('スカート', '夜')",スカート,73,86,43,263,80,96,59,81,219
33,"('スカート', '夜')",夜,69,130,42,79,201,49,148,63,219
34,"('スカート', '音楽')",スカート,69,100,30,166,81,61,32,75,386
35,"('スカート', '音楽')",音楽,48,34,70,171,37,145,109,0,386
36,"('スカート', '回る')",スカート,64,74,63,210,69,145,45,99,231
37,"('スカート', '回る')",回る,135,285,42,17,51,86,109,44,231
38,"('スカート', '揺れる')",スカート,61,103,55,239,93,144,47,85,173
39,"('スカート', '揺れる')",揺れる,85,162,7,76,83,140,258,16,173
40,"('スカート', '舞台')",スカート,58,87,46,201,76,67,37,83,345
41,"('スカート', '舞台')",舞台,129,71,47,82,77,110,112,27,345
42,"('夜', '踊り')",夜,83,82,60,40,324,75,153,57,126
43,"('夜', '踊り')",踊り,219,38,389,15,46,66,20,81,126
44,"('夜', '女性')",夜,101,139,56,82,219,83,160,67,93
45,"('夜', '女性')",女性,79,23,109,328,18,137,72,141,93
46,"('夜', 'スカート')",夜,63,139,34,91,213,66,146,61,187
47,"('夜', 'スカート')",スカート,76,86,47,242,89,115,73,85,187
48,"('夜', '音楽')",夜,75,108,32,61,193,30,90,68,343
49,"('夜', '音楽')",音楽,49,22,69,179,27,203,108,0,343
50,"('夜', '回る')",夜,67,75,46,116,166,76,131,68,255
51,"('夜', '回る')",回る,118,297,39,32,54,64,100,41,255
52,"('夜', '揺れる')",夜,67,132,45,64,285,60,119,71,157
53,"('夜', '揺れる')",揺れる,66,168,13,80,67,156,275,18,157
54,"('夜', '舞台')",夜,57,87,46,84,184,48,121,58,315
55,"('夜', '舞台')",舞台,145,81,58,51,82,142,104,22,315
56,"('音楽', '踊り')",音楽,47,18,81,110,36,254,149,0,305
57,"('音楽', '踊り')",踊り,200,26,290,22,23,55,17,62,305
58,"('音楽', '女性')",音楽,65,30,75,137,32,199,133,0,329
59,"('音楽', '女性')",女性,52,22,108,220,31,113,28,97,329
60,"('音楽', 'スカート')",音楽,54,39,73,179,33,135,113,0,374
61,"('音楽', 'スカート')",スカート,70,96,37,176,85,53,34,75,374
62,"('音楽', '夜')",音楽,35,24,71,185,23,174,124,0,364
63,"('音楽', '夜')",夜,74,123,28,54,193,17,89,58,364
64,"('音楽', '回る')",音楽,31,20,63,279,17,123,103,0,364
65,"('音楽', '回る')",回る,106,290,31,22,76,34,44,33,364
66,"('音楽', '揺れる')",音楽,36,35,88,266,37,130,91,0,317
67,"('音楽', '揺れる')",揺れる,85,242,12,68,87,41,129,19,317
68,"('音楽', '舞台')",音楽,31,30,69,132,30,139,103,0,466
69,"('音楽', '舞台')",舞台,131,67,35,55,73,88,71,14,466
70,"('回る', '踊り')",回る,120,358,46,28,58,74,97,40,179
71,"('回る', '踊り')",踊り,130,52,350,24,42,80,33,110,179
72,"('回る', '女性')",回る,169,405,34,29,64,45,82,30,142
73,"('回る', '女性')",女性,33,13,86,562,3,13,8,140,142
